"S.No","ISBN","MIN PRICE"
"1","9781554591787","-1"
"2","9781554591374","-1"
"3","9781488102684","-1"
"4","9780806141428","26.95"
"5","9781323103623","-1"
"6","9780262533041","36.4"
"7","9781256148715","-1"
"8","9781598719994","-1"
"9","9781680361391","-1"
"10","9781464118340","-1"
"11","9781617401619","8.91"
"12","9780801486418","20.21"
"13","9780300085549","18.25"
"14","387922997","-1"
"15","9781118367490","-1"
"16","9781575252094","-1"
"17","9781558616011","-1"
"18","9781599405698","-1"
"19","9781256794363","-1"
"20","9781256719656","-1"
"21","9781323248805","-1"
"22","9781323152249","-1"
"23","9781323190180","-1"
"24","9782905428127","-1"
"25","9781308279855","-1"
"26","9780738089744","-1"
"27","9788437619569","-1"
"28","9780140441703","-1"
"29","9781464108617","-1"
"30","9781259189135","-1"
"31","9781308003351","-1"
"32","9781285137254","-1"
"33","9781323456941","-1"
"34","9781319028886","-1"
"35","9781631894664","-1"
"36","9781626617377","-1"
"37","9780077774608","-1"
"38","9781412826747","-1"
"39","9780198215752","-1"
"40","9788437600925","-1"
"41","9780558904678","-1"
"42","9781259668081","-1"
"43","9780911438659","-1"
"44","9786074450552","-1"
"45","9781941125601","-1"
"46","9781319077105","-1"
"47","9781464193866","-1"
"48","9781285713496","-1"
"49","9780393260380","-1"
"50","9781464176821","-1"
"51","9781319004071","-1"
"52","9781621314226","-1"
"53","9780262513654","-1"
"54","9781308883656","-1"
"55","9781305021273","-1"
"56","9781621313243","-1"
"57","9781259727412","-1"
"58","9781118923733","-1"
"59","9780822207283","-1"
"60","9781256793571","-1"
"61","9781269733397","-1"
"62","9780300143218","10.99"
"63","9781269212595","-1"
"64","9781308322339","-1"
"65","9781259433252","-1"
"66","9781319037079","-1"
"67","9781323345337","-1"
"68","9781319014339","-1"
"69","281005005851","-1"
"70","9781319071523","-1"
"71","9781449676063","-1"
"72","9781319061937","-1"
"73","9780520089174","-1"
"74","9780393308730","13.0"
"75","9783981609219","17.99"
"76","9780988189003","-1"
"77","9780805063998","-1"
"78","9780393571257","-1"
"79","9780393612714","-1"
"80","9781464193910","-1"
"81","9781464193811","-1"
"82","9781429262361","-1"
"83","9781465208095","-1"
"84","9781256160144","-1"
"85","9780738055350","-1"
"86","9780738075389","-1"
"87","9780738084886","-1"
"88","9780738023946","-1"
"89","9780738073934","-1"
"90","9780738090139","-1"
"91","9780738074634","-1"
"92","9780738080543","-1"
"93","9780738090122","-1"
"94","9780738064147","-1"
"95","9780826317094","10.0"
"96","9780231051071","-1"
"97","9781119936688","-1"
"98","9781483374871","-1"
"99","9781119265450","-1"
"100","2810050067612","-1"
"101","9781250025685","6.96"
"102","9781323050880","-1"
"103","9780738089720","-1"
"104","9780881333633","-1"
"105","9781121753907","-1"
"106","9781269995108","-1"
"107","9781256409458","-1"
"108","9781256163688","-1"
"109","9781256148722","-1"
"110","9781623840501","-1"
"111","9780123820860","39.96"
"112","9781121851788","-1"
"113","9780470955376","-1"
"114","9781118888643","-1"
"115","9780262261609","-1"
"116","9781323467312","-1"
"117","9781323061329","-1"
"118","9780974666822","-1"
"119","9781930882003","16.4"
"120","9781441966452","79.16"
"121","9781259600364","-1"
"122","9781936480050","-1"
"123","9781308883755","-1"
"124","9781467881418","-1"
"125","9781133308","-1"
"126","9781256459606","-1"
"127","9781256526711","-1"
"128","978144197864","-1"
"129","9781256291541","-1"
"130","9781259811395","-1"
"131","9781285876597","-1"
"132","9780738080888","-1"
"133","9781499261998","-1"
"134","6170654X","-1"
"135","9780393277296","-1"
"136","9780393260229","-1"
"137","9780393523942","-1"
"138","143125974","-1"
"139","9780803268746","13.29"
"140","9781594633843","6.76"
"141","0","-1"
"142","9781305382534","-1"
"143","9780470957721","-1"
"144","9781609274689","-1"
"145","9781506369808","-1"
"146","9780393523669","-1"
"147","9781516505234","-1"
"148","9780300059472","28.8"
"149","9780077920586","-1"
"150","140433163","-1"
"151","9780077818272","-1"
"152","9780945577034","-1"
"153","9781269948739","-1"
"154","9780073524184","32.67"
"155","9780385092104","5.0"
"156","9781465240620","-1"
"157","9781566564175","7.77"
"158","9781554591039","-1"
"159","9781554591312","-1"
"160","9780393633719","-1"
"161","9781285722085","-1"
"162","9780299219048","14.5"
"163","9780811215473","8.98"
"164","9780674011182","21.27"
"165","9780190216733","42.98"
"166","9780064400053","2.37"
"167","9781558855892","5.25"
"168","9780140178241","10.05"
"169","9781603843133","13.52"
"170","9780521893534","24.15"
"171","9782708704206","8.78"
"172","9780321644923","25.5"
"173","9781256871750","103.99"
"174","9780321644688","61.96"
"175","9780618958252","75.6"
"176","9780618547203","62.7"
"177","9781285106373","53.99"
"178","9780380813940","3.73"
"179","9780141441238","8.99"
"180","9780316250818","3.87"
"181","9780520266568","22.21"
"182","9780131002180","36.95"
"183","9780930268206","29.96"
"184","9781483340135","34.4"
"185","9780882952567","36.99"
"186","9780062023148","2.25"
"187","9780803243569","37.89"
"188","9780143129455","10.0"
"189","9780141182346","6.64"
"190","9781551118444","-1"
"191","9780486264721","1.95"
"192","9780140186512","2.89"
"193","9780521485937","29.32"
"194","9780521614764","33.73"
"195","9780521174558","44.35"
"196","9780521124331","34.97"
"197","9780521669917","17.0"
"198","9780374532338","7.0"
"199","9780226069890","10.85"
"200","9780806140957","18.97"
"201","9787301137147","7.91"
"202","9780867095883","10.89"
"203","9780300168136","9.95"
"204","9780195145854","11.59"
"205","9781879960732","12.95"
"206","9781551117461","17.07"
"207","9780553211665","2.96"
"208","9780486266893","1.86"
"209","9780393960587","9.38"
"210","9780140440041","5.99"
"211","9780143039426","6.75"
"212","9780199535613","5.39"
"213","9780871402103","9.96"
"214","9780393931686","14.15"
"215","9780826318282","16.49"
"216","9780323066198","33.98"
"217","9780142000687","7.9"
"218","9780553210828","3.0"
"219","9780738085821","-1"
"220","9781269591843","-1"
"221","9781256163671","-1"
"222","9781631891090","-1"
"223","9781319028060","-1"
"224","9781477800744","6.21"
"225","9781269864688","-1"
"226","9781308070650","-1"
"227","9780393290486","-1"
"228","9780646573311","-1"
"229","9781323387191","-1"
"230","9781121892576","-1"
"231","9781539042419","-1"
"232","9780738089737","-1"
"233","9781554591053","-1"
"234","9781323457825","-1"
"235","9780971960794","-1"
"236","9781841502892","-1"
"237","9780970115744","-1"
"238","9781308230115","-1"
"239","9781285992969","-1"
"240","9780981491141","-1"
"241","9781256648680","-1"
"242","9781133308","-1"
"243","978144197864","-1"
